qwe,e-mail,password,login
bbccbccbbbcbccbcbbcccbcbc,bdea7db@bbbba.ru,bAaBabAbAA,235550b3A1
bcbcccbcbbbbcbcccbbbbccbc,ecc5bb5@ababc.ru,BAaAbaBBBB,BB6b028728
bbcccccbcbbbbcbcbccbccccb,add115e@bbcac.ru,bBAAbBAaab,5a00B2157B
ccccbbbcbcbcbccbbccbbbccc,7c1cde1@abaac.com,BbaBbbabbB,B3a2bB5526
bbcbccbbcbcbcbcccbccbcbcb,7cab5c1@caaac.com,aaAAAbAabA,B09B005350
bbcccbbcccbccbbbcbbcccbcb,5dd1dab@aacbb.ru,aabaAABbAa,26BA7bBB4a
bbbbbbbbbbbccbbbbcccbcccc,accdcb7@bacba.ru,BABBBBbAAb,8148b86854
cbbbbbcbbcbbccbcbcccbbcbc,7757ada@ccaac.com,aBaabaBBbB,a21458246B
cbbccccbbccbbbcbcbcbcbcbb,1c7e71a@acaab.ru,BbaaAbABaa,16A43618a6
bcccbbbcbccbccccbbbbbccbb,5aabc1a@bacba.ru,BAbbabAbBa,5A6563a224
bcbbbbcccbbcbbcccbbcbbcbb,ecdc1ac@bbaab.com,abBBBbABaA,8b6B05b633
bbbbbbbbbbbccbbccccbccbcb,1bb5e15@cbbca.com,BbbABabAba,3b4a536222
ccbbbcbbccccccbccbccbcbbc,acc5b75@acacc.ru,AabbAABaAB,7B63720694
bccbbcccbbbbccbcbbbcbcbcc,e5c5ed7@accac.com,babbABaBBa,000681ab98
bcccbcbbbbccbbcccbbbbbbcb,1bbc1dc@ababc.ru,aBbaaAbabB,a62B4b5186
bccbccbcbbbbbbbcbbccccbbc,e1155e1@baabc.com,bAababAbBA,9bb3779bBA
bcbbbbbbcbcbccbbcbccbcbbb,51b5c15@bbccb.ru,AabbAbaaBb,235A1aA1a6
bcbbcbbccbbccbbcbcbcbbbcc,e7aa5cb@caccc.com,bABAABBbbB,97b940061b
bbccbccbccbbbbbbbbbcbcccb,aaced1c@aaacc.com,AaaaBaBaAB,3194220479
bccccbbbccbcbcbbcbccccbcb,bb77aa5@acaab.com,ABAaBbbbAA,B52ab52BB5
bcbbccbcccbbbbbbccbcbcccb,c7dd1bd@aabcb.ru,abaAbabaBa,8a9a60A51B
cccbbcbccbccbccccbcbccbcb,5dbd1ea@bccca.com,aAabaBbBBB,1bAbBB2aBA
cbccbcbcccbbbbbccccccbccb,ad5dadd@ccacb.ru,bAAAABbabb,057702B533
bbcbbbcbbbbbbcccbcbccccbc,bce5d5b@abaaa.ru,baaABaBBba,6268B09420
bccccccbcbccbcbbbcbcccccb,515ac15@ccacc.com,AbBaaABBba,91262B3940
